country,region
Serbia,Rest of Europe
Dominican Republic,Central America and Caribbean
Solomon Islands,Oceania
Eritrea,Africa
Azerbaijan,Asia
Cambodia,Asia
Ukraine,Rest of Europe
Slovenia,European Union
Cameroon,Africa
Hungary,European Union
Russian Federation,Rest of Europe
Antigua and Barbuda,Central America and Caribbean
Albania,Rest of Europe
Croatia,European Union
Malawi,Africa
Cyprus,European Union
Bangladesh,Asia
Libya,Africa
Bhutan,Asia
Estonia,European Union
Afghanistan,Asia
Philippines,Asia
Eswatini,Africa
Ghana,Africa
Bahamas,Central America and Caribbean
Vietnam,Asia
Cabo Verde,Africa
Congo,Africa
Spain,European Union
Guinea,Africa
Kyrgyz Republic,Asia
Denmark,European Union
Iraq,Middle East
Comoros,Africa
Pakistan,Asia
Grenada,Central America and Caribbean
Kenya,Africa
Norway,Rest of Europe
India,Asia
Tanzania,Africa
United Kingdom,Rest of Europe
Ireland,European Union
Thailand,Asia
Saudi Arabia,Middle East
Australia,Oceania
Moldova,Rest of Europe
Italy,European Union
Germany,European Union
Uruguay,South America
Greece,European Union
Bosnia and Herzegovina,Rest of Europe
Canada,North America
Nepal,Asia
Rwanda,Africa
North Macedonia,Rest of Europe
Zambia,Africa
Senegal,Africa
Burundi,Africa
Singapore,Asia
Mali,Africa
Lesotho,Africa
Samoa,Oceania
Uzbekistan,Asia
Sao Tome and Principe,Central America and Caribbean
Namibia,Africa
Cote d'Ivoire,Africa
Ecuador,South America
Jamaica,Central America and Caribbean
Armenia,Rest of Europe
Malta,European Union
France,European Union
Peru,South America
Honduras,Central America and Caribbean
Bolivia,South America
Lebanon,Middle East
Gambia,Africa
Sweden,European Union
Malaysia,Asia
Micronesia (Federated States of),Oceania
Barbados,Central America and Caribbean
Panama,Central America and Caribbean
Cuba,Central America and Caribbean
Kuwait,Middle East
Bulgaria,European Union
Kazakhstan,Asia
Tonga,Oceania
Vanuatu,Oceania
China,Asia
Morocco,Africa
Belize,Central America and Caribbean
Ethiopia,Africa
South Africa,Africa
Latvia,European Union
Georgia,Rest of Europe
Paraguay,South America
Oman,Middle East
Luxembourg,European Union
Uganda,Africa
Syrian Arab Republic,Middle East
Saint Vincent and the Grenadines,Central America and Caribbean
Maldives,Asia
Netherlands,European Union
New Zealand,Oceania
Equatorial Guinea,Africa
Papua New Guinea,Oceania
Benin,Africa
Guatemala,Central America and Caribbean
Somalia,Africa
Algeria,Africa
Turkmenistan,Asia
Suriname,South America
Portugal,European Union
Madagascar,Africa
Montenegro,Rest of Europe
Brazil,South America
Mauritania,Africa
United Arab Emirates,Middle East
Chad,Africa
Tajikistan,Asia
Indonesia,Asia
Israel,Middle East
Mexico,North America
Qatar,Middle East
Zimbabwe,Africa
United States,North America
Sierra Leone,Africa
Romania,European Union
Togo,Africa
Austria,European Union
Switzerland,Rest of Europe
Liberia,Africa
Jordan,Middle East
Democratic Republic of the Congo,Africa
Mauritius,Africa
Egypt,Africa
Colombia,South America
Botswana,Africa
El Salvador,Central America and Caribbean
Venezuela (Bolivarian Republic of),South America
Yemen,Middle East
Czechia,European Union
Turkiye,Middle East
Guyana,South America
Angola,Africa
Tunisia,Africa
Guinea-Bissau,Africa
Haiti,Central America and Caribbean
Saint Lucia,Central America and Caribbean
Slovak Republic,European Union
Trinidad and Tobago,Central America and Caribbean
Timor-Leste,Oceania
Gabon,Africa
Myanmar,Asia
Costa Rica,Central America and Caribbean
Chile,South America
Djibouti,Africa
Central African Republic,Africa
Seychelles,Africa
Kiribati,Oceania
Burkina Faso,Africa
Argentina,South America
Nicaragua,Central America and Caribbean
Poland,European Union
Bahrain,Middle East
Brunei Darussalam,Asia
Belgium,European Union
Mozambique,Africa
Nigeria,Africa
Lao PDR,Asia
Fiji,Oceania
Finland,European Union
Japan,Asia
Belarus,Rest of Europe
Iran (Islamic Republic of),Middle East
Niger,Africa
Mongolia,Asia
Sri Lanka,Asia
Lithuania,European Union
Iceland,Rest of Europe
